Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Company Type,Full Description,Funding Status,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Number of Investors,Number of Lead Investors,Top 5 Investors,IPO Status,Stock Symbol,Stock Symbol URL,CB Rank (Organization),CB Rank (Company),CB Rank (School),Price,Price Currency,Price Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industry Groups,Number of Employees
AM Telecom,https://www.crunchbase.com/organization/am-telecom,Manufacturing,"Seongnam, Kyonggi-do, South Korea",AM Telecom is a developer/manufacturer of telecommunication devices.,,2001.1.1,year,For Profit,"AM Telecom is a technology company that manufactures telecommunication devices. Established in 2001, the company  began with the development of mobile phones, started the business of M2M module in 2006, and succeeded in developing the first 3G + TRS-Dual-mode-phone in 2008. Its business scope expands to Convergence products, which are engaged in M2M modules. The general-purpose M2M module product has the industry's highest development capability and superior quality as a mobile communication repeater, security system, telematics terminal , Health care, smart grid, etc., and its quality has been verified and accepted.",Late Stage Venture,1,2000000000,KRW,1789372,2017.4.1,Series C,2000000000,KRW,1789372,1,1,Stonebridge Capital,Private,,,"56,699","54,848",,,,,2000000000,KRW,1789372,2000000000,KRW,1789372,Manufacturing,101-250
Lablup,https://www.crunchbase.com/organization/lablup,"Cloud Computing, Information Technology, Machine Learning, SaaS, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Lablup is developing technologies for distributed computing for machine learning researches and applications.,$1M to $10M,2015.5.1,month,For Profit,"Lablup is a platform-as-a-service (PaaS) solution that provides cloud and server management and scaling automation specific to machine learning environments that require a large amount of system resources. Launched in November 2016, Lablup is a distributed-processing-based, open source execution platform that is responsible for smoothly distributing program code for design and training of deep learning models in server and cloud environments. It is based on Docker technology, which efficiently provides multiple independent operating environments on a physical server. It also provides web-based, personalized programming education specialized in STEM field through CodeOnWeb, an online coding education platform developed based on the SORNA engine. Lablup is also developing a machine learning based natural language processing API along with a streaming interface that services various machine learning models in the form of API.",Early Stage Venture,2,,,,2017.6.27,Series A,,,,2,1,"Kakao Ventures, Stonebridge Capital",Private,,,"56,701","54,850",,,,,1000000000,KRW,894686,1000000000,KRW,894686,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Software",1岿 10老
MVERSE,https://www.crunchbase.com/organization/mverse,"E-Commerce, Marketing, Software","Seoul, Seoul-t'ukpyolsi, South Korea",MVERSE designs and develops mobile accessories and mobile commerce solutions.,Less than $1M,2012.6.1,day,For Profit,"MVERSE (dba Surprise, (__) is a Korean software company that designs and develops mobile accessories and mobile commerce solutions for the open market. MVERSE was established in June 2012 in Seoul, Korea.",,2,800000000,KRW,731142,2016.9.7,Venture - Series Unknown,800000000,KRW,731142,3,,"Kakao Ventures, Bon Angels Venture Partners, Seoul Investment Partners",Private,,,"56,783","54,931",,,,,824142,USD,824142,824142,USD,824142,"Commerce and Shopping, Sales and Marketing, Software",1岿 10老
Stryx,https://www.crunchbase.com/organization/stryx-fae0,"3D Technology, Autonomous Vehicles, Geospatial, Information Technology, Mapping Services","Seoul, Seoul-t'ukpyolsi, South Korea",Stryx builds Digital twin data platform by High-Precision HD map with cloud-based full stack HD Mapping Solution.,Less than $1M,2017.10.30,day,For Profit,"Stryx is a company that possesses _ull-stack HD Mapping Technologies, which include data collecting devices and data building solution to provide high-quality geo-spatial information(Called HD map or Depthmap). Multi-sensor system continuously collects 3D dataset, and automatically extracts geo-spatial information using machine learning algorithms.  Digital Twin platform built by Stryx could contain diverse information, and provide data for plenty location-based applications such as Autonomous Driving, AR/VR services, localization, AV Simulation and ADAS Technologies.",Seed,2,926550,USD,926550,2020.7.1,Seed,926550,USD,926550,,,,Private,,,"56,931","55,073",,,,,1431940,USD,1431940,1431940,USD,1431940,"Data and Analytics, Hardware, Information Technology, Navigation and Mapping, Software, Transportation",11-50
Energy X Square,https://www.crunchbase.com/organization/energy-x-square,"Crowdfunding, Financial Exchanges, Information Technology, Internet, Marketplace, Trading Platform","Seoul, Seoul-t'ukpyolsi, South Korea",Xquare provides a crowdfunding platform and a securitized marketplace focused on renewable energy across the globe.,,2018.1.1,year,For Profit,"Xquare is an AI-driven energy fintech company based in Seoul, Republic of Korea. Xquare provides a crowdfunding platform and a securitized marketplace focused on renewable energy across the globe. Backed by its parent company Energy X and venture capital investors, Xquare offers its users the stable, reliable, and attractive investment opportunity in the renewable clean energy market.",Seed,1,1400000,USD,1400000,2020.7.24,Seed,1400000,USD,1400000,2,1,"Enlight Ventures, Simbon Investment Partners",Private,,,"56,951","55,092",,,,,1400000,USD,1400000,1400000,USD,1400000,"Commerce and Shopping, Financial Services, Information Technology, Internet Services, Lending and Investments",11-50
WashApp Korea,https://www.crunchbase.com/organization/washapp-korea,"E-Commerce, Information Technology, Laundry and Dry-cleaning, Online Portals","Seoul, Seoul-t'ukpyolsi, South Korea",Clean baskets are not just a laundry basket contained only clothes.,Less than $1M,2014.9.1,month,For Profit,Clean the basket service is a convenient laundry service online. Clean baskets will respond to requests from corporate customers.,Seed,1,800000000,KRW,676483,2015.12.18,Seed,800000000,KRW,676483,2,1,"Bon Angels Venture Partners, Capstone Partners Co., Ltd.",Private,,,"57,049","55,184",,,,,800000000,KRW,676483,800000000,KRW,676483,"Clothing and Apparel, Commerce and Shopping, Information Technology, Internet Services",1岿 10老
Market Designers,https://www.crunchbase.com/organization/market-designers,"Information Services, Internet","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Market Designers is a matching platform designed to provide effective resource sharing and distribution.,$1M to $10M,2017.3.3,day,For Profit,,Early Stage Venture,1,10400000000,KRW,8875083,2019.10.25,Series B,10400000000,KRW,8875083,4,,"NH Investment & Securities, Kiwoom Investment, Dt&Investment, Solidus Investment",Private,,,"57,152","55,281",,,,,10400000000,KRW,8875083,10400000000,KRW,8875083,"Information Technology, Internet Services",11-50
AIONCO KOREA Co,https://www.crunchbase.com/organization/aionco-korea-co,"E-Commerce, Logistics, Wholesale","Seoul, Seoul-t'ukpyolsi, South Korea",AIONCO KOREA provides competitive item sourcing and logistics solution service.,,2015.1.1,year,For Profit,"AIONCO KOREA provides competitive item sourcing and logistics solution service to cross border eCommerce clients. AIONCO specializes in the delivery of exceptional Multi-Channel Fulfillment solutions. From pallets to beautifully gift wrapped packages, they provide a streamlined, single-source solution that optimizes the supply chain across all channels for brands in both the direct-to-consumer and wholesale arenas.  The company was established in 2015 and is based in Seoul, Korea.",Early Stage Venture,1,3000000000,KRW,2681732,2017.10.31,Series A,3000000000,KRW,2681732,3,,"Ghost Holdings, Bridges Alliance Partners, Sejong Telecom",Private,,,"57,175","55,303",,,,,3000000000,KRW,2681732,3000000000,KRW,2681732,"Commerce and Shopping, Transportation",11-50
Wit studio,https://www.crunchbase.com/organization/wit-studio,"Developer APIs, Developer Platform, Enterprise Software, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Wit studio is a software development company that provides software for UI designers and developers.,,2011.6.1,day,For Profit,"wit studio (__ろ___) is a Korean provider of user interface and graphical user interface tools. Its product portfolio includes Assistor, a mini-tool for Photoshop that facilitates GUI design guide operations; Codinator, a tool for creating GUI designs more efficiently; and Grappic, a tool that enables users to search iOS app designs from the app store and collect them for their own reference. wit studio_ tools include features such as layer snips, rounders, tilers, unit converters, and position, size and space guiders. wit studio was established in June 2011 in Seoul, Korea.",M&A,2,300000,USD,300000,2013.5.1,Series A,300000,USD,300000,2,1,"Primer, Bon Angels Venture Partners",Private,,,"57,215","55,340",,,,,484774,USD,484774,484774,USD,484774,Software,1岿 10老
Uberple,https://www.crunchbase.com/organization/uberple,"Financial Services, FinTech, Information Services, Software","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Uberple is building real-time statistical computing engine to democratize investment research.,,2013.1.5,day,For Profit,"Uberple provides financial research platform for investors. It develops a platform combining a search engine with a computational engine with financial big-data. This platform enables investors to find the right data based on the topic they want to analyze, and to build an investment hypothesis and test it without complex calculation process. Uberple enables users to search a large database of documents such as news, corporate disclosures, sell-side research reports, IR reports, and market reports from a local and/or global markets for over 30 years. In particular, clustering algorithm allows users to classify and sort similar documents and summarize them in a few sentences so that they can find the information promptly. With massive sets of historical data, Uberple also shows how a wide variety of events in the real world can affect financial markets. The company was established on 2013 and is headquartered in Seoul, South Korea.",Early Stage Venture,2,3000000000,KRW,2765512,2018.2.13,Series B,3000000000,KRW,2765512,3,1,"Korea Investment Partners, HB Investment, Stonebridge Capital",Private,,,"57,296","55,417",,,,,4500000000,KRW,4079695,4500000000,KRW,4079695,"Financial Services, Information Technology, Software",11-50
TiumBio,https://www.crunchbase.com/organization/tiumbio,"Health Care, Medical","Seongnam, Kyonggi-do, South Korea",A drug developer working on treatments for cancer based in South Korean.,$1M to $10M,2016.1.1,year,For Profit,,Early Stage Venture,1,23500000000,KRW,21876338,2018.5.28,Series B,23500000000,KRW,21876338,,,,Private,,,"57,309","55,428",,,,,23500000000,KRW,21876338,23500000000,KRW,21876338,Health Care,1岿 10老
BOScoin,https://www.crunchbase.com/organization/boscoin,"Blockchain, Cryptocurrency, Information Technology, Professional Services","Seoul, Seoul-t'ukpyolsi, South Korea",BOScoin is a cryptocurrency that utilizes the blockchain and numerous new technologies to solve persistent issues in decentralized systems.,,2015.1.1,year,For Profit,BOScoin ia a South Korean cryptocurrency platform that utilizes the blockchain and numerous new technologies to solve persistent issues in decentralized systems. It seeks to provide an alternative to Ethereum where the freedom and flexibility provided by the Turing-complete language which Ethereum is based on is the cause for several serious problem.,,2,11700000,USD,11700000,2017.9.5,Initial Coin Offering,11700000,USD,11700000,1,,Alex Dahan,Private,,,"57,409","55,524",,,,,14700000,USD,14700000,14700000,USD,14700000,"Financial Services, Information Technology, Other, Payments, Software",1岿 10老
Common Computer,https://www.crunchbase.com/organization/common-computer,"Blockchain, Cloud Computing, Open Source, SaaS, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Common Computer is building a global backend infrastructure that transforms millions of open-source projects into live services.,,2018.5.10,day,For Profit,"Common Computer is building a global backend infrastructure that transforms millions of open-source projects into live services (a.k.a. Open Resource). Through this novel infrastructure, microservices developed by individual developers can be instantly integrated into the network of computers. Common Computer proposes ""Open Resource"" as the next evolutionary milestone of Stallman's initial Open Source initiative. Open Resource starts by decoupling the role of developers from the role of resource providers. Developers should be able to upload their programs on the open network freely, and resource providers should only be concerned with operating the program and sharing the revenue to both sides in return, even to open-source developers. AI Network blockchain will serve as a bridge between the program and the resource, offering a stable utility and also monetizing open-source solutions. In addition, Ainize庐 is a serverless cloud platform, which supports the project AI Network as a _aunchpad. Ainize is not merely designed for blockchianers, but for whom interested in open source and microservices. To further understand our vision and service, please refer to the following sites.  AI Network : http://www.ainetwork.ai  Ainize庐 : http://www.ainize.ai",Early Stage Venture,2,2700000,USD,2700000,2019.9.18,Series A,2700000,USD,2700000,2,,"KB Investment, Access Ventures",Private,,,"57,500","55,612",,,,,2990000,USD,2990000,2990000,USD,2990000,"Internet Services, Other, Software",11-50
Vingle,https://www.crunchbase.com/organization/vingle-inc,"Communities, Mobile Apps, Social Media","Seoul, Seoul-t'ukpyolsi, South Korea","Vingle is an interest-based community platform available via mobile and web, where users can mingle together through shared interests.",$1M to $10M,2011.10.21,day,For Profit,"Vingle, Inc. has created an interest-based community platform providing its mobile app and web service in over 20 languages worldwide.  Vingle enables people to connect, share, and interact with others with the same interests, featuring over 3,000 interest-based communities from hobbies, professional topics to fandoms. The company has offices in Silicon Valley, Tokyo and Seoul.",Early Stage Venture,1,1500000,USD,1500000,2012.4.1,Series A,1500000,USD,1500000,3,1,"Social Starts, Viki, Kakao Ventures",Private,,,"57,552","55,663",,,,,1500000,USD,1500000,1500000,USD,1500000,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",51-100
Lmeca Inc.,https://www.crunchbase.com/organization/lmeca-inc,"Health Care, Medical, Medical Device","Wonju, Kangwon-do, South Korea",Automatic Medical Suction Device,,2014.8.8,day,For Profit,"Lmeca Inc. is a Company for Respiratory System. AI suction can decide suction operation with respiratory information like a human being.  To increase the precision of the sputum detection, It will increase the amount of respiratory data.",Seed,3,100000000,KRW,87680,2017.3.1,Seed,100000000,KRW,87680,4,4,"Samsung Ventures, KTB Ventures, Bigbang Angels, Korea Venture Investment Corp",Private,,,"57,580","55,690",,,,,335000000,KRW,299231,335000000,KRW,299231,Health Care,1岿 10老
Macarong Factory,https://www.crunchbase.com/organization/macarong-factory,"Android, Automotive, Autonomous Vehicles, iOS, Recreational Vehicles, Transportation","Daejeon, Taejon-jikhalsi, South Korea",Macarong Factory is an Android developer that has been active since 2014 and has one app in Google Play.,Less than $1M,2015.1.1,year,For Profit,"Macarong Factory is an Android developer that has been active since 2014 and has one app in Google Play. Its app is listed in the category ""Auto & Vehicles"". It is highly ranked in at least one country and is also one of the more popular apps in Google Play with more than 100 thousand installs.",Seed,1,400000000,KRW,332885,2016.1.8,Seed,400000000,KRW,332885,1,1,Bon Angels Venture Partners,Private,,,"57,765","55,869",,,,,400000000,KRW,332885,400000000,KRW,332885,"Mobile, Platforms, Software, Transportation",1岿 10老
QARA Soft,https://www.crunchbase.com/organization/qara,"Artificial Intelligence, Financial Services, FinTech","Seoul, Seoul-t'ukpyolsi, South Korea",Fintech start-up that provides online investment advisory and asset management services using deep-learning technology.,$1M to $10M,2014.1.1,year,For Profit,"In recent years, information technology has taken the financial industries by storm. In 2015, the world_ largest investment bank, Goldman Sachs, has declared itself an IT company rather than a financial company. As times are rapidly changing, information and communication technologies are gaining traction. And soon, they will lead financial companies and gain new momentum as the alternative solutions to investment banking. QARA is a financial -technology company that provides online asset management service through the AI (artificial intelligence) deep learning technology. Based on the financial AI technology _arket Dreamer, QARA provides service to both domestic and overseas B2B and B2C market since 2014.",Seed,1,1000000,USD,1000000,2018.2.19,Seed,1000000,USD,1000000,,,,Private,,,"57,888","55,988",,,,,1000000,USD,1000000,1000000,USD,1000000,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",11-50
Pison Contents,https://www.crunchbase.com/organization/pison-contents,"Content, Music","Seongnam, Kyonggi-do, South Korea",Worldwide (+120 countries) digital music distribution online platform.,,2010.1.1,year,For Profit,Pison Contents is a music distribution and promotion company serving artists and labels.,,7,930000,USD,930000,2015.10.14,Venture - Series Unknown,930000,USD,930000,3,2,"Primer, Primer Sazze Partners, Korea Tech Incubator Program For Startup",Private,,,"57,935","56,033",,,,,1292152,USD,1292152,2158977,USD,2158977,"Media and Entertainment, Music and Audio",1岿 10老
Carboneyed,https://www.crunchbase.com/organization/carboneyed,"Gaming, Human Resources, Internet, Software","Seongnam, Kyonggi-do, South Korea",Carbon is the second most important element in the human body.,,2014.5.1,month,For Profit,"Carbon is the second most important element in the human body. The first element of life for each of us may vary but they believe that the second element of life for all of us is the _ame, the common joy of life for all mankind. As a development studio in the era of smart devices, they aspire to become a carbon eyed race that discovers and creates the second element of life.",Early Stage Venture,1,3501712500,KRW,3417399,2014.7.30,Series A,3501712500,KRW,3417399,1,1,"Capstone Partners Co., Ltd.",Private,,,"58,114","56,203",,,,,3501712500,KRW,3417399,3501712500,KRW,3417399,"Administrative Services, Gaming, Internet Services, Software",1岿 10老
GLOWDAYZ,https://www.crunchbase.com/organization/glowdayz,"Cosmetics, Real Estate, Software","Seoul, Seoul-t'ukpyolsi, South Korea",GLOWDAYZ is a Korean-based IT company specialized in providing mobile development solutions to the cosmetic and real-estate sectors.,$1M to $10M,2013.7.19,day,For Profit,"GLOWDAYZ is a Korean-based IT company specialized in providing mobile development solutions to the cosmetic and real-estate sectors. Having established in 2013, the company has released two products to the IT market.  Glowmee is a beauty curation service that enables users to receive beauty and cosmetic related content via their mobile phones. The app provides information about latest products, product reviews, and recommendations on popular beauty brands available in the market. Glowmee also offers magazines and beauty box services to its subscribers. Brokery is a mobile app focused on the real-estate market. The app offers its users information about available accommodations facilities and connects them directly with brokers in the vicinity.",Early Stage Venture,1,2000000000,KRW,1734680,2017.2.1,Series B,2000000000,KRW,1734680,1,1,Stonebridge Capital,Private,,,"58,600","56,668",,,,,2000000000,KRW,1734680,2000000000,KRW,1734680,"Consumer Goods, Real Estate, Software",1岿 10老
Nanali,https://www.crunchbase.com/organization/nanali,"Animation, Gaming, Toys","Seoul, Seoul-t'ukpyolsi, South Korea","Nanali is a Korean multidisciplinary creative studio that develops smart device games, toys, animation, and stories.",Less than $1M,2012.4.5,day,For Profit,"Nanali (__) is a multidisciplinary creative studio based in Korea. The company creates smart device games, toys, animation, and stories. Founded on April 5, 2012, Nanali_ main ongoing project is the mobile arcade game """"Fruit Attacks,"""" which uses every input method available in smart devices such as touching, shaking, and blowing. Nanali intends to apply the original """"Fruit Attacks"""" game to a one source, multi-use business model.",,3,300000000,KRW,282658,2013.11.25,Undisclosed,300000000,KRW,282658,,,,Private,,,"58,945","56,998",,,,,480000000,KRW,444696,480000000,KRW,444696,"Consumer Goods, Gaming, Media and Entertainment, Video",1岿 10老
Dadam Game,https://www.crunchbase.com/organization/dadam-game,"Gaming, Internet, Online Games","Seoul, Seoul-t'ukpyolsi, South Korea",Dadam Game is a Seoul-based gaming platform that provides its users with online games.,,2008.1.1,year,For Profit,"Dadam Game is a Seoul-based gaming platform that provides its users with online games. It is based in Seoul, Seoul-t_kpyolsi.",Seed,1,4000021620,KRW,3844092,2014.4.25,Seed,4000021620,KRW,3844092,2,,"Softbank Ventures Asia, Capstone Partners Co., Ltd.",Private,,,"58,969","57,019",,,,,4000021620,KRW,3844092,4000021620,KRW,3844092,"Gaming, Internet Services",1岿 10老
Muzlive,https://www.crunchbase.com/organization/muzlive,"Music, Video","Mapo, Seoul-t'ukpyolsi, South Korea",Muzlive is a new integrated platform for the global music market.,,,,For Profit,Muzlive is a new integrated platform for the global music market.,Early Stage Venture,3,4000000000,KRW,3528115,2019.4.1,Series A,4000000000,KRW,3528115,3,,"Mirae Asset Venture Investment, SparkLabs Accelerator, SparkLabs Ventures",Private,,,"59,149","57,192",,,,,4000000000,KRW,3528115,4000000000,KRW,3528115,"Media and Entertainment, Music and Audio, Video",
Melephant,https://www.crunchbase.com/organization/melephant,"Media and Entertainment, Mobile Apps, Video","Seongnam, Kyonggi-do, South Korea",Melephant aims to create a new video entertainment culture.,,2013.10.17,day,For Profit,Melephant Inc. is a Korea based startup established in October 2013.,Seed,2,340000000,KRW,299777,2015.10.26,Angel,340000000,KRW,299777,3,,"FuturePlay, SK Planet, Bigbang Angels",Private,,,"59,313","57,348",,,,,340000000,KRW,299777,340000000,KRW,299777,"Apps, Media and Entertainment, Mobile, Software, Video",1岿 10老
Day2Life,https://www.crunchbase.com/organization/day2life,"B2B, B2C, Software","Seongnam, Kyonggi-do, South Korea",Day2Life is a Korean-based IT company that provides mobile scheduling and supply management solutions to the B2B and B2C markets.,,2013.1.9,day,For Profit,"Day2Life is a Korean-based IT company that provides mobile scheduling and supply management solutions to the B2B and B2C markets. The company_ flagship app JUNE is a calendar app that enables users to manage their daily agenda through their mobile phones. The app offers a calendar interface with to-do notes, and various other widgets to its users.  Day2Life was established in January 2013.",Seed,2,,,,2018.8.9,Seed,,,,1,1,500 Startups,Private,,,"59,374","57,407",,,,,100000000,KRW,84331,100000000,KRW,84331,"Other, Software",1岿 10老
Remember,https://www.crunchbase.com/organization/remember-4,"Apps, Information Services, Mobile Apps","Seoul, Seoul-t'ukpyolsi, South Korea",Remember is a developer of business card organizer app.,Less than $1M,2013.1.1,year,For Profit,Remember is the number one business card management application in Korea that secretary inputs directly when you take a business card.,,3,,,,2018.10.1,Venture - Series Unknown,,,,7,1,"Naver Corporation, Korea Investment Partners, Aju IB Investment, Partners Investment, BioStar Ventures",Private,,,"60,090","58,086",,,,,9846618,USD,9846618,9846618,USD,9846618,"Apps, Information Technology, Mobile, Software",1岿 10老
Toptoon,https://www.crunchbase.com/organization/toptoon,"Online Portals, Web Design","Yeoksamdong, Seoul-t'ukpyolsi, South Korea","Toptoon is an official website, premium webtoon platform for mature readers, and various genres in one place.",,2014.1.24,day,For Profit,,,,,,,,,,,,,,,Private,,,"60,164","58,155",,,,,,,,,,,"Design, Internet Services",
Venticake,https://www.crunchbase.com/organization/venticake,"Apps, Internet, Internet of Things","Seoul, Seoul-t'ukpyolsi, South Korea",The developer of camera app 'Retrica' .,$1M to $10M,2011.1.1,year,For Profit,"Everybody, I want to remember more of my life.Record everyday life beautifully, save without restrictions, share freely.",,1,5900000,USD,5900000,2015.10.8,Venture - Series Unknown,5900000,USD,5900000,3,,"Bessemer Venture Partners, Altos Ventures, Goodwater Capital",Private,,,"60,179","58,169",,,,,5900000,USD,5900000,5900000,USD,5900000,"Apps, Internet Services, Software",11-50
Stronghold Technology,https://www.crunchbase.com/organization/stronghold-technology,"Coffee, Food and Beverage, Manufacturing","Seoul, Seoul-t'ukpyolsi, South Korea",Stronghold Technology is a South Korean company that manufactures smart coffee roasting machines.,,2013.1.1,year,For Profit,"Stronghold Technology is a South Korean company that manufactures smart coffee roasting machines. It is based in Seoul, Seoul-t_kpyolsi.",Early Stage Venture,1,1000000000,KRW,979329,2014.6.17,Series A,1000000000,KRW,979329,1,1,Softbank Ventures Asia,Private,,,"60,366","58,350",,,,,1000000000,KRW,979329,1000000000,KRW,979329,"Food and Beverage, Manufacturing",11-50
YBSOFT,https://www.crunchbase.com/organization/ybsoft,"Health Care, Manufacturing, Medical Device","Seoul, Seoul-t'ukpyolsi, South Korea",YBSOFT is a medical device company that has developed a solution to stop wheelchairs from rolling away when sitting down or standing up.,,2013.6.7,day,For Profit,"YBSOFT is a medical device company that has developed a solution to stop wheelchairs from rolling away when sitting down or standing up, thereby saving millions of people from falls.  YBSOFT wheelchairs use a simple failsafe patented concept: a safety bar or seatbelt that automatically locks the wheelchair_ brakes when the locking mechanism is released. Take off your seat belt or open the safety bar, and the brakes are locked. Close the bar or fasten the belt, and the wheels are unlocked. It_ that easy. YBSOFT_ product is the first Korean wheelchair to be approved by the American FDA. The company has more than 60 patent registrations and applications.",Early Stage Venture,3,4000000000,KRW,3523608,2019.4.15,Series B,4000000000,KRW,3523608,,,,Private,,,"60,802","58,764",,,,,5600000000,KRW,4913518,5600000000,KRW,4913518,"Health Care, Manufacturing",11-50
Omicsis,https://www.crunchbase.com/organization/omicsis,"Biopharma, Biotechnology, Life Science, Medical Device","Daejeon, Taejon-jikhalsi, South Korea",Omicsis is an integrative bioscience and biotechnology venture company.,,2008.1.1,year,For Profit,"Omicsis is an integrative bioscience and biotechnology venture company. The team is made up of experienced researchers in the fields of biotechnology, molecular biology, plant pathology and bio-infomatics. The company has competitive global intellectual property registered across the world and operates R&D services on gene engineering, seed biotechnology and bio-information database management.",Seed,2,200000000,KRW,178433,2015.3.10,Seed,200000000,KRW,178433,1,1,Coolidge Corner Investment,Private,,,"60,893","58,854",,,,,500000000,KRW,468324,500000000,KRW,468324,"Biotechnology, Health Care, Science and Engineering",11-50
LOC&ALL,https://www.crunchbase.com/organization/loc-all,"Computer, Enterprise Software, Software","Seoul, Seoul-t'ukpyolsi, South Korea","LOC&ALL is a Korean company that provides solutions, services, and systems for internet-connected smartphones.",$1M to $10M,2010.5.24,day,For Profit,"LOC&ALL (搿__) provides solutions, services and systems for internet-connected smartphones. The company aims to create enjoyable smartphones with location-based services. LOC&ALL was established in May 2010 in Seoul, Korea.",,3,2700000,USD,2700000,2013.10.2,Venture - Series Unknown,2700000,USD,2700000,4,1,"Korea Investment Partners, CyberAgent Capital, Neoplux, Partners Venture Capital",Private,,,"61,040","58,993",,,,,4548896,USD,4548896,4548896,USD,4548896,"Consumer Electronics, Hardware, Software",11-50
Payvil,https://www.crunchbase.com/organization/payvil,"Apps, Financial Services, Mobile Payments, Payments","Seoul, Seoul-t'ukpyolsi, South Korea",Payvil is an app to use AliPay in Korea.,,2016.1.1,year,For Profit,"Payvil  is an app to use AliPay in Korea.  When using Payvil to travel in Korea, it is easy to pay at affiliated stores!  As long as Alipay members will be able to use. ",Seed,4,100000000,KRW,89237,2018.11.8,Seed,100000000,KRW,89237,2,,"SparkLabs Accelerator, Bigbang Angels",Private,,,"61,152","59,099",,,,,136000000,KRW,121574,136000000,KRW,121574,"Apps, Financial Services, Mobile, Payments, Software",1岿 10老
Star Vision,https://www.crunchbase.com/organization/star-vision,"Fashion, Retail, Retail Technology","Seongnam, Kyonggi-do, South Korea",Korean beauty contact lens and fashion sunglasses retailer,,2012.1.1,year,For Profit,,Private Equity,1,1.375E+11,KRW,128351131,2018.6.5,Private Equity,1.375E+11,KRW,128351131,1,1,VIG Partners,Private,,,"61,409","59,341",,,,,1.375E+11,KRW,128351131,1.375E+11,KRW,128351131,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Software",11-50
Ium,https://www.crunchbase.com/organization/ium,"Apps, Social Media, Software","Seoul, Seoul-t'ukpyolsi, South Korea",IUMSOCIUS is a Korean-based app development company focused on creating novel dating apps for mobile users.,$1M to $10M,2008.10.27,day,For Profit,"IUMSOCIUS is a Korean-based app development company focused on creating novel dating apps for mobile users. The company has developed many products including I_ 8 and joints, both of which have been released to the iTunes Store and the App Market.",,2,2600000000,KRW,2414393,2011.6.1,Venture - Series Unknown,2600000000,KRW,2414393,3,,"Altos Ventures, Mirae Asset Venture Investment, Suprema Investment",Private,,,"61,579","59,503",,,,,3100000000,KRW,2845190,3100000000,KRW,2845190,"Apps, Internet Services, Media and Entertainment, Software",11-50
Simfler,https://www.crunchbase.com/organization/simfler,"Apps, Health Care, Medical","Seoul, Seoul-t'ukpyolsi, South Korea","BabyTime is an app where busy parents can track and learn baby habits, monitor growth, and record precious milestones.",Less than $1M,2016.1.1,year,For Profit,"Simfler offers BabyTime, an app where busy parents can track and learn baby habits, monitor growth, and record precious milestones. Feel prepared for doctors visits and share special moments with friends and family. BabyTime is a baby activity tracking app that not only allows you to record activities but also lets you monitor your baby's growth. Sync with dad, nanny, or a family member to share your baby's schedule.",Seed,1,800000,USD,800000,2017.3.7,Seed,800000,USD,800000,,,,Private,,,"61,605","59,529",,,,,800000,USD,800000,800000,USD,800000,"Apps, Health Care, Software",1岿 10老
4PLAT,https://www.crunchbase.com/organization/4plat,"Gaming, Mobile, Video Games","Seocho, Seoul-t'ukpyolsi, South Korea",4PLAT is a game developer and publisher focused on providing optimized mobile RPG games for massive simultaneous group playing.,$10M to $50M,2011.1.1,year,For Profit,"4PLAT is a game developer and publisher focused on providing optimized mobile RPG games for massive simultaneous group playing. Its game player base is growing recently with creating high LTV and ARPPU and being recognized for its mobile game business. 4PLAT is based in Seoul, Seoul-t_kpyolsi.",M&A,1,999960400,KRW,892508,2013.4.19,Series A,999960400,KRW,892508,2,,"Stonebridge Capital, Capstone Partners Co., Ltd.",Private,,,"61,641","59,564",,,,,999960400,KRW,892508,999960400,KRW,892508,"Gaming, Mobile",1岿 10老
MAKEUS,https://www.crunchbase.com/organization/makeus,"Advertising, Advertising Platforms, Digital Media","Seoul, Seoul-t'ukpyolsi, South Korea","Makeus is a company that makes content focusing on lifestyle, beauty, fashion, culture, etc.",$10M to $50M,2001.1.1,year,For Profit,MAKEUS provides advertising solutions based on digital media in seoul.,,1,17400000,USD,17400000,2015.11.12,Venture - Series Unknown,17400000,USD,17400000,4,,"KTB Network, Stonebridge Capital, Capstone Partners Co., Ltd., DSC Investment",Private,,,"61,685","59,608",,,,,17400000,USD,17400000,17400000,USD,17400000,"Advertising, Media and Entertainment, Sales and Marketing",51-100
